code,name,state,primary_language,population,literacy_pct,internet_pct,deprivation_index,latitude,longitude
TN_CHENNAI,Chennai,Tamil Nadu,ta,4646732,90.2,67.8,0.17,13.08,80.27
TN_COIMBATORE,Coimbatore,Tamil Nadu,ta,3458045,84.0,52.3,0.29,11.02,76.97
TN_MADURAI,Madurai,Tamil Nadu,ta,3038252,83.5,48.6,0.32,9.92,78.12
TN_TIRUCHIRAPPALLI,Tiruchirappalli,Tamil Nadu,ta,2722290,83.2,47.9,0.33,10.79,78.7
TN_SALEM,Salem,Tamil Nadu,ta,3482056,72.9,39.4,0.44,11.66,78.14
TN_TIRUNELVELI,Tirunelveli,Tamil Nadu,ta,1665253,82.5,45.2,0.35,8.71,77.76
TN_ERODE,Erode,Tamil Nadu,ta,2251744,72.6,42.1,0.41,11.34,77.72
TN_VELLORE,Vellore,Tamil Nadu,ta,1614242,79.2,44.0,0.38,12.92,79.13
TN_THANJAVUR,Thanjavur,Tamil Nadu,ta,2405890,82.7,43.5,0.36,10.79,79.14
TN_DINDIGUL,Dindigul,Tamil Nadu,ta,2159775,76.3,38.2,0.45,10.36,77.98
TN_KANCHIPURAM,Kanchipuram,Tamil Nadu,ta,1166401,84.5,55.4,0.27,12.83,79.7
TN_CUDDALORE,Cuddalore,Tamil Nadu,ta,2605914,78.0,39.1,0.42,11.75,79.77
TN_TIRUPPUR,Tiruppur,Tamil Nadu,ta,2479052,78.7,49.3,0.31,11.11,77.34
TN_KANYAKUMARI,Kanyakumari,Tamil Nadu,ta,1870374,91.7,58.2,0.2,8.08,77.54
TN_THOOTHUKUDI,Thoothukudi,Tamil Nadu,ta,1750176,86.2,48.0,0.3,8.76,78.13
TN_VILLUPURAM,Villupuram,Tamil Nadu,ta,2093003,71.9,33.4,0.52,11.94,79.49
TN_RAMANATHAPURAM,Ramanathapuram,Tamil Nadu,ta,1353445,80.7,41.2,0.38,9.37,78.83
TN_PERAMBALUR,Perambalur,Tamil Nadu,ta,565223,79.0,38.6,0.41,11.23,78.88
TN_TIRUVANNAMALAI,Tiruvannamalai,Tamil Nadu,ta,2464875,74.2,34.8,0.49,12.23,79.07
TN_DHARMAPURI,Dharmapuri,Tamil Nadu,ta,1506843,68.5,31.2,0.56,12.12,78.16
TN_KRISHNAGIRI,Krishnagiri,Tamil Nadu,ta,1879809,71.5,36.5,0.5,12.52,78.21
TN_NAMAKKAL,Namakkal,Tamil Nadu,ta,1726601,74.6,40.8,0.43,11.22,78.17
TN_KARUR,Karur,Tamil Nadu,ta,1064493,75.6,41.5,0.42,10.96,78.08
TN_VIRUDHUNAGAR,Virudhunagar,Tamil Nadu,ta,1942288,80.2,43.1,0.37,9.58,77.96
TN_THENI,Theni,Tamil Nadu,ta,1245899,77.3,39.7,0.43,10.01,77.48
TN_NILGIRIS,Nilgiris,Tamil Nadu,ta,735394,85.2,51.4,0.28,11.41,76.7
TN_SIVAGANGA,Sivaganga,Tamil Nadu,ta,1339101,79.8,39.5,0.41,9.85,78.48
TN_NAGAPATTINAM,Nagapattinam,Tamil Nadu,ta,697069,83.6,42.0,0.38,10.77,79.84
TN_PUDUKKOTTAI,Pudukkottai,Tamil Nadu,ta,1618345,77.2,35.8,0.47,10.38,78.82
TN_CHENGALPATTU,Chengalpattu,Tamil Nadu,ta,2556244,85.3,62.1,0.22,12.69,79.98
TN_RANIPET,Ranipet,Tamil Nadu,ta,1210277,79.5,45.2,0.36,12.93,79.33
TN_TIRUPATHUR,Tirupathur,Tamil Nadu,ta,1111812,76.4,38.0,0.45,12.5,78.57
TN_TENKASI,Tenkasi,Tamil Nadu,ta,1407627,81.4,43.6,0.37,8.96,77.31
TN_KALLAKURICHI,Kallakurichi,Tamil Nadu,ta,1370281,70.8,30.5,0.54,11.74,78.96
TN_MAYILADUTHURAI,Mayiladuthurai,Tamil Nadu,ta,918356,83.1,41.2,0.39,11.1,79.65
KA_BENGALURU_URBAN,Bengaluru Urban,Karnataka,kn,9621551,87.7,71.4,0.15,12.97,77.59
KA_BENGALURU_RURAL,Bengaluru Rural,Karnataka,kn,990923,77.9,52.1,0.34,13.28,77.55
KA_MYSURU,Mysuru,Karnataka,kn,3001127,72.8,48.5,0.41,12.3,76.64
KA_DAKSHINA_KANNADA,Dakshina Kannada,Karnataka,kn,2089649,88.6,62.4,0.22,12.87,74.88
KA_BELAGAVI,Belagavi,Karnataka,kn,4779661,73.5,41.2,0.44,15.85,74.5
KA_DHARWAD,Dharwad,Karnataka,kn,1847023,80.0,52.3,0.33,15.46,75.01
KA_KALABURAGI,Kalaburagi,Karnataka,kn,2566326,64.9,32.1,0.58,17.33,76.83
KA_BALLARI,Ballari,Karnataka,kn,1400970,67.4,38.6,0.52,15.14,76.92
KA_SHIVAMOGGA,Shivamogga,Karnataka,kn,1752755,80.4,46.8,0.35,13.93,75.57
