district_code,category,coverage_pct
TN_CHENNAI,WATER_SUPPLY,81.7
TN_CHENNAI,SANITATION,83.7
TN_CHENNAI,ROADS,66.7
TN_CHENNAI,ELECTRICITY,79.7
TN_CHENNAI,HEALTH,86.7
TN_CHENNAI,EDUCATION,76.7
TN_CHENNAI,DIGITAL,62.7
TN_CHENNAI,HOUSING,76.7
TN_CHENNAI,IRRIGATION,81.7
TN_CHENNAI,TRANSPORT,74.7
TN_COIMBATORE,WATER_SUPPLY,69.9
TN_COIMBATORE,SANITATION,58.9
TN_COIMBATORE,ROADS,52.9
TN_COIMBATORE,ELECTRICITY,75.9
TN_COIMBATORE,HEALTH,60.9
TN_COIMBATORE,EDUCATION,64.9
TN_COIMBATORE,DIGITAL,62.9
TN_COIMBATORE,HOUSING,74.9
TN_COIMBATORE,IRRIGATION,74.9
TN_COIMBATORE,TRANSPORT,73.9
TN_MADURAI,WATER_SUPPLY,69.2
TN_MADURAI,SANITATION,70.2
TN_MADURAI,ROADS,66.2
TN_MADURAI,ELECTRICITY,61.2
TN_MADURAI,HEALTH,60.2
TN_MADURAI,EDUCATION,58.2
TN_MADURAI,DIGITAL,61.2
TN_MADURAI,HOUSING,62.2
TN_MADURAI,IRRIGATION,49.2
TN_MADURAI,TRANSPORT,57.2
TN_TIRUCHIRAPPALLI,WATER_SUPPLY,67.3
TN_TIRUCHIRAPPALLI,SANITATION,50.3
TN_TIRUCHIRAPPALLI,ROADS,68.3
TN_TIRUCHIRAPPALLI,ELECTRICITY,61.3
TN_TIRUCHIRAPPALLI,HEALTH,64.3
TN_TIRUCHIRAPPALLI,EDUCATION,63.3
TN_TIRUCHIRAPPALLI,DIGITAL,69.3
TN_TIRUCHIRAPPALLI,HOUSING,56.3
TN_TIRUCHIRAPPALLI,IRRIGATION,66.3
TN_TIRUCHIRAPPALLI,TRANSPORT,63.3
TN_SALEM,WATER_SUPPLY,42.4
TN_SALEM,SANITATION,52.4
TN_SALEM,ROADS,59.4
TN_SALEM,ELECTRICITY,59.4
TN_SALEM,HEALTH,59.4
TN_SALEM,EDUCATION,59.4
TN_SALEM,DIGITAL,56.4
TN_SALEM,HOUSING,42.4
TN_SALEM,IRRIGATION,41.4
TN_SALEM,TRANSPORT,55.4
