alias,district_code,kind
madurai,TN_MADURAI,city
மதுரை,TN_MADURAI,native
trichy,TN_TIRUCHIRAPPALLI,alt_name
tiruchirappalli,TN_TIRUCHIRAPPALLI,city
திருச்சிராப்பள்ளி,TN_TIRUCHIRAPPALLI,native
salem,TN_SALEM,city
சேலம்,TN_SALEM,native
tirunelveli,TN_TIRUNELVELI,city
nellai,TN_TIRUNELVELI,alt_name
திருநெல்வேலி,TN_TIRUNELVELI,native
erode,TN_ERODE,city
ஈரோடு,TN_ERODE,native
vellore,TN_VELLORE,city
வேலூர்,TN_VELLORE,native
thanjavur,TN_THANJAVUR,city
tanjore,TN_THANJAVUR,alt_name
தஞ்சாவூர்,TN_THANJAVUR,native
dindigul,TN_DINDIGUL,city
திண்டுக்கல்,TN_DINDIGUL,native
kanchipuram,TN_KANCHIPURAM,city
kanchi,TN_KANCHIPURAM,alt_name
காஞ்சிபுரம்,TN_KANCHIPURAM,native
cuddalore,TN_CUDDALORE,city
கடலூர்,TN_CUDDALORE,native
tiruppur,TN_TIRUPPUR,city
திருப்பூர்,TN_TIRUPPUR,native
kanyakumari,TN_KANYAKUMARI,city
nagercoil,TN_KANYAKUMARI,city
கன்னியாகுமரி,TN_KANYAKUMARI,native
thoothukudi,TN_THOOTHUKUDI,city
tuticorin,TN_THOOTHUKUDI,alt_name
தூத்துக்குடி,TN_THOOTHUKUDI,native
tiruvannamalai,TN_TIRUVANNAMALAI,city
dharmapuri,TN_DHARMAPURI,city
krishnagiri,TN_KRISHNAGIRI,city
hosur,TN_KRISHNAGIRI,city
namakkal,TN_NAMAKKAL,city
karur,TN_KARUR,city
virudhunagar,TN_VIRUDHUNAGAR,city
sivakasi,TN_VIRUDHUNAGAR,city
theni,TN_THENI,city
nilgiris,TN_NILGIRIS,city
ooty,TN_NILGIRIS,alt_name
udhagamandalam,TN_NILGIRIS,city
sivaganga,TN_SIVAGANGA,city
karaikudi,TN_SIVAGANGA,city
nagapattinam,TN_NAGAPATTINAM,city
pudukkottai,TN_PUDUKKOTTAI,city
chengalpattu,TN_CHENGALPATTU,city
tambaram,TN_CHENGALPATTU,city
ranipet,TN_RANIPET,city
tirupathur,TN_TIRUPATHUR,city
tenkasi,TN_TENKASI,city
kallakurichi,TN_KALLAKURICHI,city
mayiladuthurai,TN_MAYILADUTHURAI,city
chennai,TN_CHENNAI,city
madras,TN_CHENNAI,alt_name
சென்னை,TN_CHENNAI,native
coimbatore,TN_COIMBATORE,city
kovai,TN_COIMBATORE,alt_name
கோயம்புத்தூர்,TN_COIMBATORE,native
mysore,KA_MYSURU,alt_name
mysuru,KA_MYSURU,city
ಮೈಸೂರು,KA_MYSURU,native
