district_code,category,coverage_pct
TN_CHENNAI,WATER_SUPPLY,83.7
TN_CHENNAI,SANITATION,66.7
TN_CHENNAI,ROADS,68.7
TN_CHENNAI,ELECTRICITY,72.7
TN_CHENNAI,HEALTH,65.7
TN_CHENNAI,EDUCATION,71.7
TN_CHENNAI,DIGITAL,83.7
TN_CHENNAI,HOUSING,86.7
TN_CHENNAI,IRRIGATION,62.7
TN_CHENNAI,TRANSPORT,80.7
TN_COIMBATORE,WATER_SUPPLY,65.9
TN_COIMBATORE,SANITATION,67.9
TN_COIMBATORE,ROADS,64.9
TN_COIMBATORE,ELECTRICITY,73.9
TN_COIMBATORE,HEALTH,63.9
TN_COIMBATORE,EDUCATION,66.9
TN_COIMBATORE,DIGITAL,69.9
TN_COIMBATORE,HOUSING,67.9
TN_COIMBATORE,IRRIGATION,54.9
TN_COIMBATORE,TRANSPORT,72.9
TN_MADURAI,WATER_SUPPLY,71.2
TN_MADURAI,SANITATION,63.2
TN_MADURAI,ROADS,60.2
TN_MADURAI,ELECTRICITY,72.2
TN_MADURAI,HEALTH,72.2
TN_MADURAI,EDUCATION,57.2
TN_MADURAI,DIGITAL,60.2
TN_MADURAI,HOUSING,55.2
TN_MADURAI,IRRIGATION,65.2
TN_MADURAI,TRANSPORT,72.2
TN_TIRUCHIRAPPALLI,WATER_SUPPLY,52.3
TN_TIRUCHIRAPPALLI,SANITATION,69.3
TN_TIRUCHIRAPPALLI,ROADS,51.3
TN_TIRUCHIRAPPALLI,ELECTRICITY,66.3
TN_TIRUCHIRAPPALLI,HEALTH,67.3
TN_TIRUCHIRAPPALLI,EDUCATION,57.3
TN_TIRUCHIRAPPALLI,DIGITAL,51.3
TN_TIRUCHIRAPPALLI,HOUSING,65.3
TN_TIRUCHIRAPPALLI,IRRIGATION,70.3
TN_TIRUCHIRAPPALLI,TRANSPORT,61.3
TN_SALEM,WATER_SUPPLY,40.4
TN_SALEM,SANITATION,41.4
TN_SALEM,ROADS,57.4
TN_SALEM,ELECTRICITY,57.4
TN_SALEM,HEALTH,58.4
TN_SALEM,EDUCATION,46.4
TN_SALEM,DIGITAL,42.4
TN_SALEM,HOUSING,43.4
TN_SALEM,IRRIGATION,52.4
TN_SALEM,TRANSPORT,60.4
TN_TIRUNELVELI,WATER_SUPPLY,65.5
TN_TIRUNELVELI,SANITATION,46.5
TN_TIRUNELVELI,ROADS,59.5
TN_TIRUNELVELI,ELECTRICITY,55.5
TN_TIRUNELVELI,HEALTH,69.5
TN_TIRUNELVELI,EDUCATION,59.5
TN_TIRUNELVELI,DIGITAL,59.5
TN_TIRUNELVELI,HOUSING,63.5
TN_TIRUNELVELI,IRRIGATION,49.5
TN_TIRUNELVELI,TRANSPORT,50.5
TN_ERODE,WATER_SUPPLY,55.1
TN_ERODE,SANITATION,50.1
TN_ERODE,ROADS,56.1
TN_ERODE,ELECTRICITY,46.1
TN_ERODE,HEALTH,50.1
TN_ERODE,EDUCATION,63.1
TN_ERODE,DIGITAL,43.1
TN_ERODE,HOUSING,62.1
TN_ERODE,IRRIGATION,45.1
TN_ERODE,TRANSPORT,48.1
TN_VELLORE,WATER_SUPPLY,59.8
TN_VELLORE,SANITATION,57.8
TN_VELLORE,ROADS,64.8
TN_VELLORE,ELECTRICITY,64.8
TN_VELLORE,HEALTH,58.8
TN_VELLORE,EDUCATION,55.8
TN_VELLORE,DIGITAL,54.8
TN_VELLORE,HOUSING,45.8
TN_VELLORE,IRRIGATION,60.8
TN_VELLORE,TRANSPORT,65.8
TN_THANJAVUR,WATER_SUPPLY,69.6
TN_THANJAVUR,SANITATION,51.6
TN_THANJAVUR,ROADS,46.6
TN_THANJAVUR,ELECTRICITY,58.6
TN_THANJAVUR,HEALTH,46.6
TN_THANJAVUR,EDUCATION,61.6
TN_THANJAVUR,DIGITAL,66.6
TN_THANJAVUR,HOUSING,58.6
TN_THANJAVUR,IRRIGATION,68.6
TN_THANJAVUR,TRANSPORT,65.6
TN_DINDIGUL,WATER_SUPPLY,42.5
TN_DINDIGUL,SANITATION,46.5
TN_DINDIGUL,ROADS,50.5
TN_DINDIGUL,ELECTRICITY,44.5
TN_DINDIGUL,HEALTH,49.5
TN_DINDIGUL,EDUCATION,37.5
TN_DINDIGUL,DIGITAL,45.5
TN_DINDIGUL,HOUSING,41.5
TN_DINDIGUL,IRRIGATION,45.5
TN_DINDIGUL,TRANSPORT,45.5
TN_KANCHIPURAM,WATER_SUPPLY,57.7
TN_KANCHIPURAM,SANITATION,68.7
TN_KANCHIPURAM,ROADS,68.7
TN_KANCHIPURAM,ELECTRICITY,59.7
TN_KANCHIPURAM,HEALTH,66.7
TN_KANCHIPURAM,EDUCATION,71.7
TN_KANCHIPURAM,DIGITAL,65.7
TN_KANCHIPURAM,HOUSING,55.7
TN_KANCHIPURAM,IRRIGATION,77.7
TN_KANCHIPURAM,TRANSPORT,69.7
TN_CUDDALORE,WATER_SUPPLY,41.2
TN_CUDDALORE,SANITATION,40.2
TN_CUDDALORE,ROADS,45.2
TN_CUDDALORE,ELECTRICITY,55.2
TN_CUDDALORE,HEALTH,62.2
TN_CUDDALORE,EDUCATION,45.2
TN_CUDDALORE,DIGITAL,62.2
TN_CUDDALORE,HOUSING,44.2
TN_CUDDALORE,IRRIGATION,40.2
TN_CUDDALORE,TRANSPORT,60.2
TN_TIRUPPUR,WATER_SUPPLY,70.1
TN_TIRUPPUR,SANITATION,64.1
TN_TIRUPPUR,ROADS,54.1
TN_TIRUPPUR,ELECTRICITY,60.1
TN_TIRUPPUR,HEALTH,60.1
TN_TIRUPPUR,EDUCATION,70.1
TN_TIRUPPUR,DIGITAL,54.1
TN_TIRUPPUR,HOUSING,53.1
TN_TIRUPPUR,IRRIGATION,52.1
TN_TIRUPPUR,TRANSPORT,54.1
TN_KANYAKUMARI,WATER_SUPPLY,82.0
TN_KANYAKUMARI,SANITATION,78.0
TN_KANYAKUMARI,ROADS,66.0
TN_KANYAKUMARI,ELECTRICITY,66.0
TN_KANYAKUMARI,HEALTH,73.0
TN_KANYAKUMARI,EDUCATION,71.0
TN_KANYAKUMARI,DIGITAL,77.0
TN_KANYAKUMARI,HOUSING,73.0
TN_KANYAKUMARI,IRRIGATION,82.0
TN_KANYAKUMARI,TRANSPORT,62.0
TN_THOOTHUKUDI,WATER_SUPPLY,68.0
TN_THOOTHUKUDI,SANITATION,73.0
TN_THOOTHUKUDI,ROADS,71.0
TN_THOOTHUKUDI,ELECTRICITY,51.0
TN_THOOTHUKUDI,HEALTH,62.0
TN_THOOTHUKUDI,EDUCATION,63.0
TN_THOOTHUKUDI,DIGITAL,75.0
TN_THOOTHUKUDI,HOUSING,53.0
TN_THOOTHUKUDI,IRRIGATION,55.0
TN_THOOTHUKUDI,TRANSPORT,54.0
TN_VILLUPURAM,WATER_SUPPLY,40.2
TN_VILLUPURAM,SANITATION,46.2
TN_VILLUPURAM,ROADS,43.2
TN_VILLUPURAM,ELECTRICITY,48.2
TN_VILLUPURAM,HEALTH,31.2
TN_VILLUPURAM,EDUCATION,43.2
TN_VILLUPURAM,DIGITAL,53.2
TN_VILLUPURAM,HOUSING,36.2
TN_VILLUPURAM,IRRIGATION,50.2
TN_VILLUPURAM,TRANSPORT,47.2
TN_RAMANATHAPURAM,WATER_SUPPLY,65.8
TN_RAMANATHAPURAM,SANITATION,43.8
TN_RAMANATHAPURAM,ROADS,52.8
TN_RAMANATHAPURAM,ELECTRICITY,67.8
TN_RAMANATHAPURAM,HEALTH,65.8
TN_RAMANATHAPURAM,EDUCATION,52.8
TN_RAMANATHAPURAM,DIGITAL,59.8
TN_RAMANATHAPURAM,HOUSING,53.8
TN_RAMANATHAPURAM,IRRIGATION,54.8
TN_RAMANATHAPURAM,TRANSPORT,46.8
