alias,district_code,kind
বৰপেটা,AS_BARPETA,native
बारपेटा,AS_BARPETA,native
barpeta road,AS_BARPETA,city
howly,AS_BARPETA,city
sarthebari,AS_BARPETA,city
ধুবুৰী,AS_DHUBRI,native
धुबरी,AS_DHUBRI,native
gauripur,AS_DHUBRI,city
bilasipara,AS_DHUBRI,city
নগাঁও,AS_NAGAON,native
नगांव,AS_NAGAON,native
nowgong,AS_NAGAON,alt_name
hojai,AS_NAGAON,city
kaliabor,AS_NAGAON,tehsil
सीतामढ़ी,BR_SITAMARHI,native
dumra,BR_SITAMARHI,city
pupri,BR_SITAMARHI,tehsil
belsand,BR_SITAMARHI,tehsil
अररिया,BR_ARARIA,native
forbesganj,BR_ARARIA,city
jokihat,BR_ARARIA,tehsil
raniganj,BR_ARARIA,tehsil
पूर्णिया,BR_PURNIA,native
purnea,BR_PURNIA,alt_name
banmankhi,BR_PURNIA,tehsil
dhamdaha,BR_PURNIA,tehsil
नंदुरबार,MH_NANDURBAR,native
shahada,MH_NANDURBAR,city
taloda,MH_NANDURBAR,tehsil
akkalkuwa,MH_NANDURBAR,tehsil
navapur,MH_NANDURBAR,tehsil
गडचिरोली,MH_GADCHIROLI,native
aheri,MH_GADCHIROLI,tehsil
etapalli,MH_GADCHIROLI,tehsil
chamorshi,MH_GADCHIROLI,tehsil
उस्मानाबाद,MH_OSMANABAD,native
dharashiv,MH_OSMANABAD,alt_name
धाराशिव,MH_OSMANABAD,native
tuljapur,MH_OSMANABAD,city
naldurg,MH_OSMANABAD,city
umarga,MH_OSMANABAD,tehsil
ராமநாதபுரம்,TN_RAMANATHAPURAM,native
ramnad,TN_RAMANATHAPURAM,alt_name
rameswaram,TN_RAMANATHAPURAM,city
paramakudi,TN_RAMANATHAPURAM,city
mudukulathur,TN_RAMANATHAPURAM,tehsil
பெரம்பலூர்,TN_PERAMBALUR,native
kunnam,TN_PERAMBALUR,tehsil
veppanthattai,TN_PERAMBALUR,tehsil
விழுப்புரம்,TN_VILLUPURAM,native
vilupuram,TN_VILLUPURAM,alt_name
tindivanam,TN_VILLUPURAM,city
gingee,TN_VILLUPURAM,city
kallakurichi,TN_VILLUPURAM,city
କାଳାହାଣ୍ଡି,OD_KALAHANDI,native
bhawanipatna,OD_KALAHANDI,city
junagarh,OD_KALAHANDI,tehsil
dharamgarh,OD_KALAHANDI,tehsil
ନବରଙ୍ଗପୁର,OD_NABARANGPUR,native
nowrangpur,OD_NABARANGPUR,alt_name
nabarangapur,OD_NABARANGPUR,alt_name
umerkote,OD_NABARANGPUR,city
papadahandi,OD_NABARANGPUR,tehsil
କୋରାପୁଟ,OD_KORAPUT,native
jeypore,OD_KORAPUT,city
sunabeda,OD_KORAPUT,city
damanjodi,OD_KORAPUT,city
बाड़मेर,RJ_BARMER,native
balotra,RJ_BARMER,city
baytu,RJ_BARMER,tehsil
chohtan,RJ_BARMER,tehsil
जालोर,RJ_JALORE,native
jalor,RJ_JALORE,alt_name
bhinmal,RJ_JALORE,city
sanchore,RJ_JALORE,city
बांसवाड़ा,RJ_BANSWARA,native
kushalgarh,RJ_BANSWARA,tehsil
bagidora,RJ_BANSWARA,tehsil
পুরুলিয়া,WB_PURULIA,native
puruliya,WB_PURULIA,alt_name
raghunathpur,WB_PURULIA,city
jhalda,WB_PURULIA,city
মালদা,WB_MALDA,native
maldah,WB_MALDA,alt_name
english bazar,WB_MALDA,city
old malda,WB_MALDA,city
chanchal,WB_MALDA,tehsil
